County,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Appling,30.57956778,30.6129666,30.64833006,30.68369352,30.71905697,30.75442043,30.78978389,30.82514735,30.86051081,30.89587426,30.93123772,31.25933202,31.58939096,31.91748527,32.2475442,32.57563851,32.90569745,33.23379175,33.56385069,33.89194499,34.22200393,34.40078585,34.58153242,34.76227898,34.9410609,35.12180747,35.30255403,35.48133595,35.66208251,35.84282908,36.02357564,36.2848723,36.15324165,36.13948919,36.3497053,36.2475442,36.31630648,36.3870334
Atkinson,18.16863905,18.18934911,18.21005917,18.23076923,18.25147929,18.27514793,18.29585799,18.31656805,18.33727811,18.35798817,18.3816568,18.79289941,19.20710059,19.6183432,20.03254438,20.44674556,20.85798817,21.27218935,21.68343195,22.09763314,22.51183432,22.73372781,22.95857988,23.18047337,23.40532544,23.63017751,23.85207101,24.07692308,24.29881657,24.52366864,24.74852071,24.77218935,24.47633136,24.51183432,24.38757396,24.77810651,24.61538462,24.68047337
Bacon,32.90877193,32.97192982,33.03859649,33.10526316,33.16842105,33.23508772,33.30175439,33.36491228,33.43157895,33.49824561,33.56491228,33.75087719,33.94035088,34.12982456,34.31578947,34.50526316,34.69473684,34.88070175,35.07017544,35.25964912,35.44912281,35.78596491,36.12280702,36.45964912,36.79649123,37.13333333,37.47017544,37.80701754,38.14385965,38.48070175,38.82105263,39.16491228,39.21754386,39.31578947,39.36140351,39.60350877,39.87719298,39.71578947
Baker,11.10204082,11.04373178,10.98833819,10.93294461,10.87463557,10.81924198,10.7638484,10.70553936,10.65014577,10.59475219,10.5393586,10.67055394,10.80466472,10.93877551,11.0728863,11.20699708,11.34110787,11.47521866,11.60932945,11.74344023,11.87755102,11.6909621,11.50437318,11.31778426,11.13119534,10.94460641,10.75801749,10.57142857,10.38483965,10.19825073,10.01457726,9.667638484,9.84548105,9.7696793,9.606413994,9.332361516,9.352769679,9.329446064
Baldwin,134.4418605,136.3178295,138.1937984,140.0736434,141.9496124,143.8294574,145.7054264,147.5813953,149.4612403,151.3372093,153.2170543,155.2209302,157.2248062,159.2286822,161.2325581,163.2364341,165.2403101,167.244186,169.248062,171.251938,173.255814,173.6395349,174.0232558,174.4069767,174.7906977,175.1744186,175.5581395,175.9418605,176.3255814,176.7093023,177.0968992,174.9883721,180.2286822,178.9379845,177.7248062,176.4263566,175.1550388,174.0542636
Banks,37.18803419,37.87179487,38.55982906,39.24358974,39.93162393,40.61965812,41.3034188,41.99145299,42.67521368,43.36324786,44.05128205,45.80769231,47.56410256,49.32478632,51.08119658,52.84188034,54.5982906,56.35470085,58.11538462,59.87179487,61.63247863,63.33760684,65.04700855,66.75641026,68.46581197,70.17521368,71.88461538,73.59401709,75.3034188,77.01282051,78.72222222,78.06410256,77.57692308,77.96581197,77.98290598,78.55555556,78.24358974,79.63247863
Barrow,131.8148148,136.9753086,142.1419753,147.308642,152.4691358,157.6358025,162.8024691,167.962963,173.1296296,178.2962963,183.462963,193.5987654,203.7345679,213.8703704,224.0123457,234.1481481,244.2839506,254.4259259,264.5617284,274.6975309,284.8395062,299.3765432,313.9135802,328.4506173,342.9876543,357.5308642,372.0679012,386.6049383,401.1419753,415.6790123,430.2222222,431.4444444,433.3703704,440.2407407,450.3641975,463.3765432,475.8703704,488.0308642
Bartow,88.60869565,91.90217391,95.19565217,98.48913043,101.7826087,105.076087,108.3695652,111.6630435,114.9565217,118.25,121.5456522,125.9152174,130.2869565,134.6586957,139.0304348,143.4021739,147.7717391,152.1434783,156.5152174,160.8869565,165.2586957,170.4913043,175.726087,180.9586957,186.1934783,191.4282609,196.6608696,201.8956522,207.1282609,212.3630435,217.5978261,217.8543478,218.1847826,219.6869565,220.4282609,222.1217391,224.85,228.3782609
Ben,63.49206349,63.58730159,63.68650794,63.78174603,63.88095238,63.97619048,64.07539683,64.17063492,64.26984127,64.36507937,64.46428571,64.95238095,65.44444444,65.93650794,66.42857143,66.92063492,67.41269841,67.9047619,68.3968254,68.88888889,69.38095238,69.43253968,69.48809524,69.53968254,69.5952381,69.65079365,69.70238095,69.75793651,69.80952381,69.86507937,69.92063492,69.69444444,69.75,69.15079365,69.13888889,68.74206349,68.21428571,67.44444444
Berrien,29.92256637,30.05973451,30.19911504,30.33849558,30.47787611,30.61725664,30.75442478,30.89380531,31.03318584,31.17256637,31.3119469,31.77212389,32.23230088,32.69247788,33.15265487,33.61504425,34.07522124,34.53539823,34.99557522,35.45575221,35.91814159,36.60840708,37.29867257,37.98893805,38.67920354,39.36946903,40.05973451,40.75,41.44026549,42.13053097,42.82300885,42.87831858,42.40265487,42.17035398,41.63938053,42.00884956,42.06637168,42.44690265
